Filename,Hue,Saturation,Value
15.jpg_4_1.png,55.0,112.0,33.0
66.jpg_3_0.png,23.0,240.0,186.0
16.jpg_1_2.png,43.0,237.0,145.0
44.jpg_1_4.png,25.0,252.0,178.0
57.jpg_0_4.png,38.0,242.0,114.0
42.jpg_2_4.png,25.0,246.0,171.0
19.jpg_2_1.png,41.0,233.0,148.0
69.jpg_0_3.png,17.0,170.0,99.0
65.jpg_4_1.png,23.0,228.0,183.0
16.jpg_3_0.png,43.0,224.0,152.0
66.jpg_1_2.png,20.0,119.0,76.0
51.jpg_3_4.png,45.0,226.0,85.0
65.jpg_3_0.png,24.0,251.0,181.0
15.jpg_1_2.png,26.0,244.0,179.0
22.jpg_3_4.png,48.0,159.0,48.0
31.jpg_2_4.png,38.0,110.0,66.0
16.jpg_4_1.png,20.0,209.0,140.0
63.jpg_0_0.png,19.0,167.0,95.0
13.jpg_2_2.png,34.0,217.0,136.0
24.jpg_0_4.png,26.0,233.0,205.0
4.jpg_3_4.png,106.0,255.0,167.0
37.jpg_1_4.png,49.0,170.0,30.0
70.jpg_1_0.png,105.0,253.0,158.0
15.jpg_3_0.png,52.0,128.0,34.0
65.jpg_1_2.png,38.0,218.0,115.0
52.jpg_3_4.png,21.0,90.0,79.0
41.jpg_2_4.png,25.0,251.0,181.0
66.jpg_4_1.png,21.0,57.0,36.0
13.jpg_0_0.png,21.0,165.0,157.0
63.jpg_2_2.png,23.0,249.0,203.0
54.jpg_0_4.png,107.0,254.0,191.0
47.jpg_1_4.png,35.0,211.5,81.0
70.jpg_3_2.png,36.0,211.0,43.0
32.jpg_3_3.png,45.0,195.0,154.0
42.jpg_1_1.png,25.0,240.0,170.0
19.jpg_1_4.png,26.0,247.0,197.0
1.jpg_1_3.png,22.0,143.0,107.0
51.jpg_0_1.png,108.0,251.0,146.0
41.jpg_4_2.png,108.0,255.0,171.0
7.jpg_2_3.png,48.0,174.0,41.0
34.jpg_0_3.png,21.0,121.0,71.0
44.jpg_2_1.png,25.0,243.0,176.0
24.jpg_4_0.png,105.0,254.0,189.0
38.jpg_4_1.png,39.0,192.0,91.0
28.jpg_0_2.png,22.0,145.0,128.0
63.jpg_4_4.png,107.0,251.0,118.0
57.jpg_3_1.png,23.0,255.0,178.0
27.jpg_1_3.png,43.0,209.0,164.0
1.jpg_3_1.png,35.0,159.0,60.0
69.jpg_1_4.png,17.0,185.0,107.0
42.jpg_3_3.png,37.0,135.0,36.0
32.jpg_1_1.png,22.0,158.0,112.0
31.jpg_4_2.png,35.0,142.0,54.0
51.jpg_2_3.png,108.0,254.0,154.0
44.jpg_0_3.png,23.0,102.0,59.0
34.jpg_2_1.png,26.0,250.0,163.0
54.jpg_4_0.png,51.0,164.5,114.0
7.jpg_0_1.png,26.0,245.0,195.0
13.jpg_4_4.png,105.0,254.0,163.0
28.jpg_2_0.png,26.0,234.0,206.0
27.jpg_3_1.png,26.0,248.0,194.0
57.jpg_1_3.png,19.0,151.0,82.0
57.jpg_1_2.png,37.0,244.0,105.0
27.jpg_3_0.png,26.0,241.0,192.0
28.jpg_2_1.png,42.0,223.0,163.0
54.jpg_4_1.png,47.0,194.0,122.0
34.jpg_2_0.png,22.0,32.0,95.0
44.jpg_0_2.png,50.0,134.0,31.0
7.jpg_0_0.png,22.0,128.0,105.0
51.jpg_2_2.png,30.0,42.0,111.0
31.jpg_4_3.png,49.0,120.0,45.0
66.jpg_0_4.png,20.0,109.0,120.0
1.jpg_3_0.png,50.0,139.0,47.0
32.jpg_1_0.png,24.0,126.0,110.0
42.jpg_3_2.png,55.0,100.0,28.0
27.jpg_1_2.png,35.0,211.0,142.0
57.jpg_3_0.png,38.0,236.0,115.0
28.jpg_0_3.png,22.0,140.0,112.0
38.jpg_4_0.png,45.0,206.0,117.0
7.jpg_2_2.png,32.0,91.0,64.0
24.jpg_4_1.png,105.0,244.0,157.0
44.jpg_2_0.png,25.0,245.0,159.0
34.jpg_0_2.png,22.0,102.0,76.0
41.jpg_4_3.png,107.0,254.0,173.0
51.jpg_0_0.png,37.0,228.0,98.0
16.jpg_0_4.png,22.0,155.0,103.0
42.jpg_1_0.png,108.0,253.0,156.0
32.jpg_3_2.png,41.0,205.0,162.0
1.jpg_1_2.png,23.0,127.0,107.0
70.jpg_3_3.png,37.0,195.0,42.0
7.jpg_4_4.png,105.0,249.0,135.0
63.jpg_2_3.png,22.0,252.0,165.0
13.jpg_0_1.png,27.0,248.0,190.0
66.jpg_4_0.png,23.0,226.0,165.0
65.jpg_1_3.png,36.0,177.0,100.0
15.jpg_3_1.png,51.0,135.0,35.0
70.jpg_1_1.png,23.0,250.0,200.0
13.jpg_2_3.png,27.0,242.0,192.0
63.jpg_0_1.png,30.0,210.0,59.0
38.jpg_0_4.png,50.0,128.0,33.0
16.jpg_4_0.png,21.0,199.0,145.0
51.jpg_4_4.png,25.0,255.0,137.0
15.jpg_1_3.png,39.0,234.0,103.0
65.jpg_3_1.png,23.0,244.0,166.0
65.jpg_3_3.png,24.0,239.0,187.0
15.jpg_1_1.png,26.0,249.0,179.0
16.jpg_4_2.png,105.0,255.0,168.0
34.jpg_4_4.png,108.0,253.0,149.0
63.jpg_0_3.png,40.0,191.0,40.0
13.jpg_2_1.png,106.0,253.0,167.0
70.jpg_1_3.png,37.0,196.0,38.0
15.jpg_3_3.png,35.0,141.0,44.0
65.jpg_1_1.png,40.0,225.0,118.0
66.jpg_4_2.png,24.0,255.0,186.0
